seed,fold,epoch,g_physics,g_esm
2026,0,50,0.34243419766426086,0.6204345226287842
2026,1,0,0.4982849061489105,0.48080936074256897
2026,1,1,0.4996239244937897,0.48252829909324646
2026,1,2,0.4958082139492035,0.4832516610622406
2026,1,3,0.49295201897621155,0.481234610080719
2026,1,4,0.4996405839920044,0.4843539297580719
2026,1,5,0.4942208230495453,0.4872927665710449
2026,1,6,0.490443617105484,0.4946677088737488
2026,1,7,0.49064284563064575,0.5025286674499512
2026,1,8,0.4901712238788605,0.5156663656234741
2026,1,9,0.4892934560775757,0.5302674174308777
2026,1,10,0.49026036262512207,0.5573436617851257
2026,1,11,0.49438294768333435,0.5809600949287415
2026,1,12,0.5019969344139099,0.6016517877578735
2026,1,13,0.49319374561309814,0.6311234831809998
2026,1,14,0.49813804030418396,0.6489624381065369
2026,1,15,0.4985489547252655,0.681837260723114
2026,1,16,0.5079436302185059,0.7007212042808533
2026,1,17,0.5147371888160706,0.714897096157074
2026,1,18,0.5299264788627625,0.7279329895973206
2026,1,19,0.5181910395622253,0.7452813982963562
2026,1,20,0.5157701969146729,0.7519975900650024
2026,1,21,0.5139087438583374,0.7615215182304382
2026,1,22,0.5362079739570618,0.7772405743598938
2026,1,23,0.5147932171821594,0.7772948145866394
2026,1,24,0.5157319903373718,0.7684320211410522
2026,1,25,0.487611323595047,0.7674309611320496
2026,1,26,0.4769386947154999,0.7636063694953918
2026,1,27,0.4826052784919739,0.7535673379898071
2026,1,28,0.4551008641719818,0.7597319483757019
2026,1,29,0.44589194655418396,0.7395607233047485
2026,1,30,0.4280650317668915,0.7539028525352478
2026,1,31,0.44091373682022095,0.7443788647651672
2026,1,32,0.42384621500968933,0.7401511073112488
2026,1,33,0.3825647234916687,0.7423016428947449
2026,1,34,0.37726497650146484,0.7304052710533142
2026,1,35,0.37152522802352905,0.7203906774520874
2026,1,36,0.3805619776248932,0.6978799700737
2026,1,37,0.38936418294906616,0.6781167387962341
2026,1,38,0.3848098814487457,0.6920635104179382
2026,1,39,0.3748980164527893,0.6898460984230042
2026,1,40,0.34471529722213745,0.696259081363678
2026,1,41,0.3691476583480835,0.6700824499130249
2026,1,42,0.34026214480400085,0.6587626934051514
2026,1,43,0.3410986661911011,0.6817430257797241
2026,1,44,0.34648579359054565,0.660531222820282
2026,1,45,0.330824077129364,0.6573683023452759
2026,1,46,0.3215559124946594,0.6601825952529907
2026,1,47,0.34839165210723877,0.6465103626251221
2026,1,48,0.3305545449256897,0.6486390233039856
2026,1,49,0.3239670693874359,0.6583564877510071
2026,1,50,0.3292478024959564,0.6359622478485107
2026,1,51,0.33573225140571594,0.649042010307312
2026,1,52,0.32768484950065613,0.6268050670623779
2026,2,0,0.48702865839004517,0.5308882594108582
2026,2,1,0.4861718714237213,0.531221330165863
2026,2,2,0.4871063530445099,0.5301814079284668
2026,2,3,0.48494258522987366,0.5317670702934265
2026,2,4,0.481359601020813,0.5313391089439392
2026,2,5,0.4781739115715027,0.5374968647956848
2026,2,6,0.4726962745189667,0.5410594940185547
2026,2,7,0.47435659170150757,0.5552396774291992
2026,2,8,0.4792730510234833,0.5712410807609558
2026,2,9,0.4792473614215851,0.5804723501205444
2026,2,10,0.4770057499408722,0.6031509041786194
2026,2,11,0.4876370131969452,0.6183139681816101
2026,2,12,0.4838148057460785,0.6317659020423889
2026,2,13,0.49195122718811035,0.6501448154449463
2026,2,14,0.49958258867263794,0.6769495010375977
2026,2,15,0.5023475289344788,0.711289644241333
2026,2,16,0.5079315304756165,0.7314320206642151
2026,2,17,0.5063266754150391,0.7518149018287659
2026,2,18,0.49999871850013733,0.7659277319908142
2026,2,19,0.5067571401596069,0.7686350345611572
2026,2,20,0.5093684196472168,0.7836043238639832
2026,2,21,0.5046340823173523,0.7960410714149475
2026,2,22,0.5056666135787964,0.8084056377410889
